Color,Value,Variable,,,
#41c2fe,81,LRAD,,,
#3fc1fe,84,LRAD,,,
#3fc1fe,87,LRAD,,,
#4dc3fe,90,LRAD,,,
#6ac9fe,93,LRAD,,,
#6bc9fe,96,LRAD,,,
#6cc9fe,99,LRAD,,,
#82cefe,102,LRAD,,,
#9dd3fe,105,LRAD,,,
#a0d3fe,108,LRAD,,,
#add6fe,111,LRAD,,,
#b9d9fe,114,LRAD,,,
#b8dafe,117,LRAD,,,
#bddafe,120,LRAD,,,
#ccddfe,123,LRAD,,,
#d2defe,126,LRAD,,,
#d0dffd,129,LRAD,,,
#d3dffc,132,LRAD,,,
#dfe0f7,135,LRAD,,,
#e5e2f4,138,LRAD,,,
#e4e2f4,141,LRAD,,,
#e9e2f0,144,LRAD,,,
#f3e3ea,147,LRAD,,,
#f7e4e8,151,LRAD,,,
#f7e3e8,154,LRAD,,,
#f8e1e2,157,LRAD,,,
#fbdfdb,160,LRAD,,,
#fbdeda,163,LRAD,,,
#f9d6cd,166,LRAD,,,
#f9d0c3,169,LRAD,,,
#f9d0c3,172,LRAD,,,
#f8cebf,175,LRAD,,,
#f5c7b2,178,LRAD,,,
#f5c3ac,181,LRAD,,,
#f3c0a9,184,LRAD,,,
#f2bba1,187,LRAD,,,
#f2ba9f,190,LRAD,,,
#f1ba9f,193,LRAD,,,
#f0b79a,196,LRAD,,,
#efb293,199,LRAD,,,
#efb293,202,LRAD,,,
#eeb192,205,LRAD,,,
#edaa8d,208,LRAD,,,
#eda589,211,LRAD,,,
#eda689,214,LRAD,,,
#eca287,217,LRAD,,,
#ec9980,220,LRAD,,,
#ec967f,223,LRAD,,,
#ec967f,226,LRAD,,,
#eb957e,229,LRAD,,,
#eb8f79,232,LRAD,,,
#ea8a75,235,LRAD,,,
#e8836e,238,LRAD,,,
#e8816c,241,LRAD,,,
#e77d68,244,LRAD,,,
#e77761,247,LRAD,,,
#e7765e,250,LRAD,,,
#e7765e,253,LRAD,,,
#e7775f,256,LRAD,,,
#eb704f,259,LRAD,,,
#ef6a42,262,LRAD,,,
#ef6a41,265,LRAD,,,
#f0683e,268,LRAD,,,
#f6602b,271,LRAD,,,
#fa5b1f,274,LRAD,,,
#fb5a20,277,LRAD,,,
#fb611e,280,LRAD,,,
#fc6e19,283,LRAD,,,
#fd7218,286,LRAD,,,
#fe6f19,289,LRAD,,,
#fe7c19,292,LRAD,,,
#fe8c19,295,LRAD,,,
#fe8c19,298,LRAD,,,
#fe8d19,302,LRAD,,,
#fe9e19,305,LRAD,,,
#feaa1a,308,LRAD,,,
#fea819,311,LRAD,,,
#fead1a,314,LRAD,,,
#febb1d,317,LRAD,,,
#febe1e,320,LRAD,,,
#febe1f,323,LRAD,,,
#feca21,326,LRAD,,,
#fed022,329,LRAD,,,
#fecf22,332,LRAD,,,
#fcd229,335,LRAD,,,
#f8dc3c,338,LRAD,,,
#f8e043,341,LRAD,,,
#f8de40,344,LRAD,,,
#f6e54f,347,LRAD,,,
#f3ee63,350,LRAD,,,
#f3ef65,353,LRAD,,,
#f4ee63,356,LRAD,,,
#f4f267,359,LRAD,,,
#f5f66a,362,LRAD,,,
#f5f56a,365,LRAD,,,
#f5f569,368,LRAD,,,
#f8f866,371,LRAD,,,
#fafa65,374,LRAD,,,
#f9f965,377,LRAD,,,
#f9f966,380,LRAD,,,
#fbfb6a,383,LRAD,,,
#fdfd6a,386,LRAD,,,
#fdfd68,389,LRAD,,,
#fdfd77,392,LRAD,,,
#fdfd86,395,LRAD,,,
#fdfd84,398,LRAD,,,
#fdfd86,401,LRAD,,,
#fdfd96,404,LRAD,,,
#fdfd9d,407,LRAD,,,
#fdfd99,410,LRAD,,,
#fdfda2,413,LRAD,,,
#fdfdc3,416,LRAD,,,
#fdfdc4,419,LRAD,,,
#fdfdc3,422,LRAD,,,
#fdfde2,425,LRAD,,,
#fdfdf1,428,LRAD,,,
#fdfdee,431,LRAD,,,
#fdfdf1,434,LRAD,,,
#fdfdfa,437,LRAD,,,
#fdfdfd,440,LRAD,,,
#fdfdfd,443,LRAD,,,
#fdfdfd,446,LRAD,,,
#e1e1e1,450,LRAD,,,
